,account_length,area_code,phone_number,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,total_minutes,total_charge,total_calls,average_call_length,average_charge,customer_service_calls,churn,state_AL,state_AR,state_AZ,state_CA,state_CO,state_CT,state_DC,state_DE,state_FL,state_GA,state_HI,state_IA,state_ID,state_IL,state_IN,state_KS,state_KY,state_LA,state_MA,state_MD,state_ME,state_MI,state_MN,state_MO,state_MS,state_MT,state_NC,state_ND,state_NE,state_NH,state_NJ,state_NM,state_NV,state_NY,state_OH,state_OK,state_OR,state_PA,state_RI,state_SC,state_SD,state_TN,state_TX,state_UT,state_VA,state_VT,state_WA,state_WI,state_WV,state_WY
0,128,415,382,0,1,0.49019607843137253,0.7557012542759407,0.6666666666666666,0.755700871898055,0.5427550178718724,0.5823529411764706,0.5428663862827564,0.5957504034427111,0.4084507042253521,0.5959354453078302,0.5,0.15,0.5,0.7206592308972868,0.7187926795957389,0.49777777777777776,0.3333333333333333,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,107,415,371,0,1,0.5098039215686274,0.46066134549600907,0.7454545454545455,0.4605969148222669,0.5375309320868848,0.6058823529411764,0.5376900679391783,0.6218396987627757,0.49295774647887325,0.6222355050806934,0.6849999999999999,0.15,0.6851851851851851,0.5675045779923424,0.4959027588090687,0.6266666666666667,0.3333333333333333,0.3333333333333332,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,137,415,358,0,0,0.0,0.693842645381984,0.6909090909090909,0.69382964453387,0.33324168270552657,0.6470588235294118,0.33322549336784213,0.37493275954814415,0.5,0.3753735803945009,0.61,0.25,0.6092592592592593,0.42467121691360105,0.5375580442502049,0.6311111111111111,0.3333333333333333,0.8333333333333331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,84,408,375,1,0,0.0,0.8534777651083237,0.4303030303030303,0.8534540576794097,0.1701952158372285,0.5176470588235295,0.17017146554513102,0.46718665949435184,0.39436619718309857,0.46742378959952174,0.32999999999999996,0.35,0.3296296296296296,0.46695521891127023,0.5991532368205408,0.28444444444444444,0.3333333333333333,0.8333333333333331,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,75,415,330,1,0,0.0,0.47519954389965785,0.6848484848484848,0.47518443997317233,0.4077536431124554,0.7176470588235294,0.40795858945325136,0.44029047875201727,0.6197183098591549,0.44052600119545726,0.505,0.15,0.5055555555555555,0.37905776593973706,0.3982518437585359,0.7466666666666667,0.0,0.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,118,510,391,1,0,0.0,0.636830102622577,0.593939393939394,0.6368209255533198,0.6065438548254055,0.5941176470588235,0.6065998058880621,0.48601398601398604,0.5985915492957746,0.48655110579796773,0.315,0.3,0.31481481481481477,0.6157815881471617,0.6102157880360557,0.5866666666666667,0.3333333333333333,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,121,510,355,0,1,0.47058823529411764,0.6220068415051311,0.5333333333333333,0.6218980549966466,0.958207313720099,0.6352941176470588,0.9582659333549014,0.5094136632598171,0.5985915492957746,0.5098625224148238,0.375,0.35,0.3759259259259259,0.8365240552688533,0.7563507238459438,0.5777777777777777,0.3333333333333333,0.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,147,415,329,1,0,0.0,0.44754846066134546,0.47878787878787876,0.4475184439973173,0.2834753918064339,0.5529411764705883,0.2834034293109026,0.5072619688004304,0.44366197183098594,0.5074716078900178,0.355,0.3,0.3555555555555555,0.3241218578325289,0.3273695711554221,0.37333333333333335,0.3333333333333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,117,408,335,0,0,0.0,0.5259407069555302,0.5878787878787879,0.5259892689470155,0.9667308221061315,0.47058823529411764,0.9670009705596895,0.5180204410973642,0.4014084507042254,0.5182307232516439,0.43499999999999994,0.2,0.4351851851851852,0.7929082736807063,0.6881999453701174,0.35555555555555557,0.6666666666666666,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,141,415,330,1,1,0.7254901960784313,0.7371721778791335,0.509090909090909,0.7370892018779343,0.6103931811932912,0.6529411764705882,0.6104820446457457,0.8154922001075847,0.4507042253521127,0.815899581589958,0.5599999999999999,0.25,0.5592592592592592,0.8887964041951061,0.7868068833652007,0.4711111111111111,0.6666666666666666,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
